slice_lower_limit,slice_upper_limit,n,a,b,b_std,b_std/abs(b),abs(b)/b_std
1.000e-30,9.800e+23,3,nan,nan,nan,nan,nan
1.000e-30,9.900e+23,3,nan,nan,nan,nan,nan
1.000e-30,1.000e+24,3,nan,nan,nan,nan,nan
1.000e-30,1.100e+24,3,nan,nan,nan,nan,nan
1.000e-30,1.200e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.300e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.400e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.500e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.600e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.700e+24,4,nan,nan,nan,nan,nan
1.000e-30,1.800e+24,5,334.236145133367,0.173278218851,0.367241683067,2.119375911763,0.471837013174
1.000e-30,1.900e+24,5,182.348156347523,0.184416122406,0.363805688056,1.972743398518,0.506908298744
1.000e-30,2.000e+24,6,21395.157954878905,0.096581463313,0.268150308797,2.776415883544,0.360176588071
1.000e-30,2.100e+24,7,1.577376861600,0.376930109410,0.002907497543,0.007713625074,129.640731866863
1.000e-30,2.200e+24,8,8.700979665541,1.197691402756,0.063259164787,0.052817582761,18.933089091414
1.000e-30,2.300e+24,8,0.813297365636,1.458655258446,0.018305799638,0.012549777976,79.682684576641
1.000e-30,2.400e+24,10,0.057606451355,-1.195527261629,0.145981972433,0.122106770057,8.189554105244
1.000e-30,2.500e+24,10,38.985673675322,-0.253118913525,0.000334196106,0.001320312661,757.396357572344
1.000e-30,2.600e+24,10,38.985673675322,-0.253118913525,0.000334196106,0.001320312661,757.396357572344
1.000e-30,2.700e+24,11,38.941333779415,-0.253384633945,0.000075423492,0.000297664034,3359.492196146863
1.000e-30,2.800e+24,12,0.580088157527,-0.338710879062,0.079720747462,0.235365181308,4.248716800176
1.000e-30,2.900e+24,13,0.582349323312,-0.321081593242,0.087082931946,0.271217453069,3.687078352380
1.000e-30,3.000e+24,13,0.582349323312,-0.321081593242,0.087082931946,0.271217453069,3.687078352380
1.000e-30,3.100e+24,13,0.582349323312,-0.321081593242,0.087082931946,0.271217453069,3.687078352380
1.000e-30,3.200e+24,14,0.599200807736,-0.229157293594,0.103408264102,0.451254518153,2.216044293790
1.000e-30,3.300e+24,15,1.569445540521,0.372995246569,0.000156487834,0.000419543776,2383.541496830956
1.000e-30,3.400e+24,15,1.569445540521,0.372995246569,0.000156487834,0.000419543776,2383.541496830956
1.000e-30,3.500e+24,15,1.569445540521,0.372995246569,0.000156487834,0.000419543776,2383.541496830956
1.000e-30,3.600e+24,16,0.791196573751,1.461642484146,0.024059846229,0.016460828479,60.750283697511
1.000e-30,3.700e+24,16,0.791196573751,1.461642484146,0.024059846229,0.016460828479,60.750283697511
1.000e-30,3.800e+24,17,39.223462268489,-0.246823200669,0.003511383820,0.014226311832,70.292287404644
1.000e-30,3.900e+24,17,39.223462268489,-0.246823200669,0.003511383820,0.014226311832,70.292287404644
1.000e-30,4.000e+24,18,39.280391506005,-0.236403657127,0.001301326919,0.005504681844,181.663541754927
1.000e-30,4.100e+24,18,0.589094452752,-0.412708550686,0.031120161793,0.075404693557,13.261773940412
1.000e-30,4.200e+24,20,38.864467740116,-0.246874637712,0.000259668569,0.001051823596,950.729764860497
1.000e-30,4.300e+24,22,0.590432496407,-0.427965050934,0.000438092740,0.001023664758,976.882316599279
1.000e-30,4.400e+24,22,0.590432496407,-0.427965050934,0.000438092740,0.001023664758,976.882316599279
1.000e-30,4.500e+24,22,1.569053002437,0.372854951436,0.000227193910,0.000609335908,1641.130922138878
1.000e-30,4.600e+24,24,1.570698480109,0.374029215204,0.000115377183,0.000308471045,3241.795348543237
1.000e-30,4.700e+24,24,1.570698480109,0.374029215204,0.000115377183,0.000308471045,3241.795348543237
1.000e-30,4.800e+24,25,0.796024312646,1.483735851528,0.001099326976,0.000740918254,1349.676560217481
1.000e-30,4.900e+24,25,1.567954466813,0.373094970686,0.000213658488,0.000572665152,1746.221148321041
1.000e-30,5.000e+24,25,38.982993251392,-0.238972772379,0.001426988334,0.005971342760,167.466521395418
1.000e-30,5.100e+24,25,38.982993251392,-0.238972772379,0.001426988334,0.005971342760,167.466521395418
1.000e-30,5.200e+24,25,38.982993251392,-0.238972772379,0.001426988334,0.005971342760,167.466521395418
1.000e-30,5.300e+24,25,38.982993251392,-0.238972772379,0.001426988334,0.005971342760,167.466521395418
1.000e-30,5.400e+24,25,38.982993251392,-0.238972772379,0.001426988334,0.005971342760,167.466521395418
1.000e-30,5.500e+24,26,39.097763275006,-0.239674293126,0.001235653677,0.005155553651,193.965588888719
1.000e-30,5.600e+24,26,1.576131169306,0.372495158349,0.000126527057,0.000339674368,2943.996059339085
1.000e-30,5.700e+24,27,39.201852041358,-0.238370634045,0.001330542932,0.005581824024,179.152906954404
1.000e-30,5.800e+24,28,1.571549135958,0.373533025278,0.000074608462,0.000199737258,5006.577200342736
1.000e-30,5.900e+24,29,1.572886701837,0.372662425158,0.000072218521,0.000193790723,5160.205721051969
1.000e-30,6.000e+24,29,1.572886701837,0.372662425158,0.000072218521,0.000193790723,5160.205721051969
1.000e-30,6.100e+24,29,1.572886701837,0.372662425158,0.000072218521,0.000193790723,5160.205721051969
1.000e-30,6.200e+24,29,1.572886701837,0.372662425158,0.000072218521,0.000193790723,5160.205721051969
1.000e-30,6.300e+24,31,38.982470454859,-0.242520717324,0.000353126425,0.001456067049,686.781560589107
1.000e-30,6.400e+24,31,1.570335934581,0.371112577947,0.002710663338,0.007304153777,136.908399037716
1.000e-30,6.500e+24,31,38.982470454859,-0.242520717324,0.000353126425,0.001456067049,686.781560589107
1.000e-30,6.600e+24,33,39.029607723163,-0.239109252352,0.001660743155,0.006945541164,143.977262010866
1.000e-30,6.700e+24,33,39.029607723163,-0.239109252352,0.001660743155,0.006945541164,143.977262010866
1.000e-30,6.800e+24,33,39.029607723163,-0.239109252352,0.001660743155,0.006945541164,143.977262010866
1.000e-30,6.900e+24,34,39.034480001641,-0.243553873247,0.001381630878,0.005672793700,176.279987045200
1.000e-30,7.000e+24,35,39.227095635535,-0.237332632383,0.001635409359,0.006890790122,145.121238973448
1.000e-30,7.100e+24,35,1.572319545707,0.371895727223,0.000106877591,0.000287385908,3479.641737234782
1.000e-30,7.200e+24,35,1.572319545707,0.371895727223,0.000106877591,0.000287385908,3479.641737234782
1.000e-30,7.300e+24,35,1.572319545707,0.371895727223,0.000106877591,0.000287385908,3479.641737234782
1.000e-30,7.400e+24,35,1.572319545707,0.371895727223,0.000106877591,0.000287385908,3479.641737234782
1.000e-30,7.500e+24,35,1.572319545707,0.371895727223,0.000106877591,0.000287385908,3479.641737234782
1.000e-30,7.600e+24,36,38.990860354422,-0.241090503375,0.000688176457,0.002854432040,350.332390498035
1.000e-30,7.700e+24,37,1.574536417969,0.373204492703,0.000107216585,0.000287286427,3480.846654932056
1.000e-30,7.800e+24,39,39.187008457732,-0.232880424920,0.001804288696,0.007747704415,129.070489320563
1.000e-30,7.900e+24,42,39.218847777844,-0.237985243601,0.000690385423,0.002900958952,344.713598651768
1.000e-30,8.000e+24,43,39.102690113168,-0.238778560056,0.001735039443,0.007266311693,137.621401640128
1.000e-30,8.100e+24,43,39.102690113168,-0.238778560056,0.001735039443,0.007266311693,137.621401640128
1.000e-30,8.200e+24,43,1.567897987237,0.372642850656,0.000210523416,0.000564946881,1770.077920437290
1.000e-30,8.300e+24,44,39.153879335669,-0.238817500625,0.000702211476,0.002940368585,340.093417240858
1.000e-30,8.400e+24,47,39.078786171044,-0.234267767520,0.000318944452,0.001361452561,734.509617714810
1.000e-30,8.500e+24,48,1.566253135036,0.371215867539,0.000219620841,0.000591625682,1690.257930385049
1.000e-30,8.600e+24,49,1.575241539816,0.372849649549,0.000104511231,0.000280303953,3567.555819512878
1.000e-30,8.700e+24,49,39.156028051857,-0.231846714358,0.002548775324,0.010993364003,90.963966967714
1.000e-30,8.800e+24,49,1.575241539816,0.372849649549,0.000104511231,0.000280303953,3567.555819512878
1.000e-30,8.900e+24,50,1.577739182281,0.372255990019,0.000222304972,0.000597183062,1674.528404621874
1.000e-30,9.000e+24,50,39.194990371511,-0.234685477163,0.001911173459,0.008143552307,122.796534269915
1.000e-30,9.100e+24,50,39.194990371511,-0.234685477163,0.001911173459,0.008143552307,122.796534269915
1.000e-30,9.200e+24,51,39.310034521554,-0.229152714683,0.001869122208,0.008156666225,122.599107577304
1.000e-30,9.300e+24,52,1.571679430337,0.371669838845,0.001029677435,0.002770408914,360.957544875602
1.000e-30,9.400e+24,52,39.045463044096,-0.227354070797,0.001919754939,0.008443899564,118.428694284316
1.000e-30,9.500e+24,53,39.181882786515,-0.231940359998,0.001720942343,0.007419762317,134.775206700926
1.000e-30,9.600e+24,53,1.576820605192,0.372297804149,0.000085201693,0.000228853600,4369.605730760522
1.000e-30,9.700e+24,53,39.181882786515,-0.231940359998,0.001720942343,0.007419762317,134.775206700926
1.000e-30,9.800e+24,56,39.196380014444,-0.237204782119,0.002309149035,0.009734833399,102.723894595691
1.000e-30,9.900e+24,56,39.196380014444,-0.237204782119,0.002309149035,0.009734833399,102.723894595691
1.000e-30,1.000e+25,56,39.196380014444,-0.237204782119,0.002309149035,0.009734833399,102.723894595691
1.000e-30,1.100e+25,64,39.289443537145,-0.224098540094,0.002500874833,0.011159710509,89.608059204981
1.000e-30,1.200e+25,75,39.327714949263,-0.231557579246,0.000793992885,0.003428922032,291.636844106266
1.000e-30,1.300e+25,86,39.393030369893,-0.222048360939,0.002069619391,0.009320579456,107.289466794311
1.000e-30,1.400e+25,96,39.477481283415,-0.210858001577,0.002400715484,0.011385460669,87.831316539483
1.000e-30,1.500e+25,104,39.512455926193,-0.215251171823,0.001823868471,0.008473210415,118.019021247309
1.000e-30,1.600e+25,108,39.430469751867,-0.210808241509,0.003319945281,0.015748650326,63.497504819633
1.000e-30,1.700e+25,115,39.398216621307,-0.219537201156,0.002473933106,0.011268855999,88.740152511737
1.000e-30,1.800e+25,125,39.518103409950,-0.203105781531,0.007549591112,0.037170734652,26.902885008132
1.000e-30,1.900e+25,136,39.556178888812,-0.203264097008,0.006047389339,0.029751389586,33.611875408299
1.000e-30,2.000e+25,141,39.523313523444,-0.205984010432,0.004576275946,0.022216656215,45.011273987508
1.000e-30,2.100e+25,153,39.561309926122,-0.201765099255,0.001288986360,0.006388549677,156.530049949227
1.000e-30,2.200e+25,161,39.828392988628,-0.200911439482,0.005905930866,0.029395692355,34.018589795806
1.000e-30,2.300e+25,174,39.948975413972,-0.196462786504,0.003967316189,0.020193728590,49.520324865543
1.000e-30,2.400e+25,180,39.819516166932,-0.191855050895,0.004488198507,0.023393694802,42.746560920558
1.000e-30,2.500e+25,196,40.076883342048,-0.201799332427,0.005833466301,0.028907262632,34.593382733777
1.000e-30,2.600e+25,206,39.893442103834,-0.205532615143,0.003197765917,0.015558435407,64.273815063066
